,students,teachers,schools,,,,,,
1864,395142,7045,,,,,,,
1870,411760,7537,,,"1976, 1984, 1992 student data",,,,
1875,429687,7963,,,"Z.5. Primarstufe und (obligatorische) Sekundarstufe I nach Kantonen: Schülerbestand nach Geschlecht 1976/77, 1984/85 und 1992/93",,,,
1887,471016,9036,,,"file: Z.05.xlsx, this is from https://hsso.ch/de/2012/z, historical swiss data website",,,,
1891,469911,9418,,,,,,,
1895,470677,9664,,,1983 to 1961 students and teachers data ,,,,
1899,471713,10312,,,"Z.1a. Primarschule nach Kantonen (1): Knaben und Mädchen 1864/66, 1870/72, 1875/77 und 1887/88-1961/62 (ausgewählte Jahre, in Tausend)",,,,
1903,492768,10977,,,"Z.1b. Primarschule nach Kantonen (1): Lehrer und Lehrerinnen 1864/66, 1870/72, 1875/77 und 1887/88-1961/62 (ausgewählte Jahre, in Tausend)",,,,
1907,523783,11877,,,"file: Z.01.xlsx, this is from https://hsso.ch/de/2012/z, historical swiss data ",,,,
1911,543216,12324,,,,,,,
1915,562876,13091,,,Recent decade of school count data,,,,
1919,536219,13529,,,file: je-d-15.05.00.01.xlsx,,,,
1923,509762,13403,,,Primarstufe 3-8,,,,
1927,473865,13176,,,https://www.bfs.admin.ch/bfs/de/home/statistiken/bildung-wissenschaft/bildungsinstitutionen.html,,,,
1931,471198,13304,,,,,,,search words used to find teachers file:
1935,476088,13577,,,Recent decade Teachers count for all mandatory school tier teachers (not used here),,,,Lehrkräfte
1939,455720,13559,,,file: je-d-15.04.01.01_teachers_count,,,,Lehrkörper 
1943,440813,13459,,,All obligatory schools,,,,Primarstufe
1947,430720,13932,,,,,,,Statistik des Schulpersonals
1951,476331,14476,,,Recent decade primarstufe 3-8 teachers count ,,,,
1956,557316,16429,,,file: px-x-1504000000_170_20230614-230256_teacher_count,,,,
1961,577055,17714,,,"Primarstufe 3-8 (Primarstufe 1-2 und 3-8 (gemischt)	Primarstufe 3-8	Primarstufe 3-8 und Sekundarstufe I (gemischt))",,,,
1976,503153,,,,Built from from here: https://www.bfs.admin.ch/bfs/de/home/statistiken/bildung-wissenschaft/personal-bildungsinstitutionen/obligatorische-schule-sekundarstufe-II-tertiaerstufe-hoehere-fachschulen.assetdetail.24368305.html,,,,
1984,385474,,,,https://www.bfs.admin.ch/bfs/de/home/statistiken/bildung-wissenschaft.html,,,,
1992,420089,,,,,,,,
1999,475044,,,,Recent Decade student count,,,,
2000,473739,,,,file: je-d-15.02.01.04_student_count,,,,
2001,470904,,,,Primarstufe 3-8,,,,
2002,469511,,,,https://www.bfs.admin.ch/bfs/de/home/statistiken/bildung-wissenschaft/personen-ausbildung/obligatorische-schule.html,,,,
2003,465777,,,,,,,,
2004,454092,,,,,,,,
2005,454092,,,,,,,,
2006,449649,,,,,,,,
2007,445136,,,,,,,,
2008,440885,,,,,,,,
2009,436111,,,,,,,,
2010,436073,44102,4527,,,,,,
2011,435547,45666,4502,,,,,,
2012,435454,46104,4605,,,,,,
2013,452293,48345,4688,,,,,,
2014,466833,47223,4686,,,,,,
2015,477499,48595,4693,,,,,,
2016,486812,50672,4645,,,,,,
2017,511337,50879,4618,,,,,,
2018,517780,51844,4622,,,,,,
2019,524624,52738,4611,,,,,,
2020,530230,54777,4610,,,,,,
